"Berlin, Aubertstrasse"	9134012
"Berlin, Auguste-Viktoria-Allee/Humboldtstrasse"	9086106
"Berlin, Auguste-Viktoria-Allee/Quaekerstrasse"	9086156
"Berlin, Auguste-Viktoria-Klinikum"	9060154
"Berlin, Auguste-Viktoria-Klinikum Sued"	9060105
"Berlin, August-Froehlich-Strasse"	9083204
"Berlin, Aurorafalterweg"	9175518
"Berlin, Aussenweg"	9038256
"Berlin, Bachstelzenweg"	9051254
"Berlin, Bachstrasse"	9003105
"Berlin, Badenallee"	9026156
"Berlin, Badener Ring"	9068153
"Berlin, Badeweg"	9052156
"Berlin, Bahnhof Albrechtshof"	9037168
"Berlin, Bahnhof Staaken"	9029305
"Berlin, Bahnhofstrasse"	9150050
"Berlin, Bahnhofstrasse/Lindenstrasse"	9180008
"Berlin, Bahnhofstrasse/Seelenbinderstrasse"	9180009
"Berlin, Baekestrasse"	9066408
"Berlin, Balatonstrasse"	9161513
"Berlin, Baldersheimer Weg"	9074155
"Berlin, Ballonplatz"	9143511
"Berlin, Baluschekweg"	9037251
"Berlin, Bambachstrasse"	9069254
"Berlin, Bamberger Strasse"	9055108
"Berlin, Bammelecke"	9186500
"Berlin, Barbarossastrasse"	9055151
"Berlin, Baerenlauchstrasse"	9180538
"Berlin, Barnetstrasse/Steinstrasse"	9074204
"Berlin, Barnimplatz"	9170011
"Berlin, Barther Strasse"	9151010
"Berlin, Baseler Strasse"	9066451
"Berlin, Baeumerplan"	9068106
"Berlin, Baumschulenstrasse/Faehre"	9191513
"Berlin, Baumschulenstrasse/Koenigsheideweg"	9194513
"Berlin, Baumschulenstrasse/Koepenicker Landstrasse"	9191003
"Berlin, Bausdorfstrasse/Landrestrasse"	9175541
"Berlin, Baussnernweg"	9073254
"Berlin, Bayernring"	9068156
"Berlin, Bayreuther Strasse"	9005156
"Berlin, Beatrice-Zweig-Strasse"	9131509
"Berlin, Beermannstrasse"	9190006
"Berlin, Beerwinkel"	9027364
"Berlin, Beeskowdamm"	9049301
"Berlin, Behaimstrasse"	9140506
"Berlin, Behrenstrasse/Wilhelmstrasse"	9100543
"Berlin, Behringstrasse"	9049103
"Berlin, Beifussweg"	9082293
"Berlin, Beilsteiner Strasse"	9171515
"Berlin, Bekassinenweg"	9091156
"Berlin, Bellevuepark"	9180532
"Berlin, Bellevuestrasse"	9180013
"Berlin, Belssstrasse/Marienfelder Allee"	9073181
"Berlin, Belziger Ring"	9170502
"Berlin, Benediktinerstrasse"	9092255
"Berlin, Benfeystrasse"	9039163
"Berlin, Bennostrasse"	9150503
"Berlin, Bentschener Weg"	9171526
"Berlin, Bergaustrasse"	9191510
